month,bin_left,bin_right,count,probability
1,0.0,1.7524999460000004,0,0.0
1,1.7524999460000004,3.5049998920000007,3,0.15
1,3.5049998920000007,5.257499838000001,0,0.0
1,5.257499838000001,7.0099997840000015,5,0.25
1,7.0099997840000015,8.762499730000002,2,0.1
1,8.762499730000002,10.514999676000002,3,0.15
1,10.514999676000002,12.267499622000003,0,0.0
1,12.267499622000003,14.019999568000003,0,0.0
1,14.019999568000003,15.772499514000003,0,0.0
1,15.772499514000003,17.524999460000004,2,0.1
1,17.524999460000004,19.277499406000004,2,0.1
1,19.277499406000004,21.029999352000004,2,0.1
1,21.029999352000004,22.782499298000005,0,0.0
1,22.782499298000005,24.534999244000005,1,0.05
1,24.534999244000005,26.287499190000005,0,0.0
1,26.287499190000005,28.039999136000006,0,0.0
1,28.039999136000006,29.792499082000006,0,0.0
1,29.792499082000006,31.544999028000007,0,0.0
1,31.544999028000007,33.29749897400001,0,0.0
1,33.29749897400001,35.04999892000001,0,0.0
2,0.0,1.7524999460000004,0,0.0
2,1.7524999460000004,3.5049998920000007,0,0.0
2,3.5049998920000007,5.257499838000001,0,0.0
2,5.257499838000001,7.0099997840000015,4,0.13793103448275862
2,7.0099997840000015,8.762499730000002,8,0.27586206896551724
2,8.762499730000002,10.514999676000002,6,0.20689655172413793
2,10.514999676000002,12.267499622000003,3,0.10344827586206896
2,12.267499622000003,14.019999568000003,1,0.034482758620689655
2,14.019999568000003,15.772499514000003,0,0.0
2,15.772499514000003,17.524999460000004,3,0.10344827586206896
2,17.524999460000004,19.277499406000004,1,0.034482758620689655
2,19.277499406000004,21.029999352000004,1,0.034482758620689655
2,21.029999352000004,22.782499298000005,0,0.0
2,22.782499298000005,24.534999244000005,1,0.034482758620689655
2,24.534999244000005,26.287499190000005,0,0.0
2,26.287499190000005,28.039999136000006,0,0.0
2,28.039999136000006,29.792499082000006,0,0.0
2,29.792499082000006,31.544999028000007,0,0.0
2,31.544999028000007,33.29749897400001,0,0.0
2,33.29749897400001,35.04999892000001,1,0.034482758620689655
3,0.0,1.7524999460000004,0,0.0
3,1.7524999460000004,3.5049998920000007,3,0.06
3,3.5049998920000007,5.257499838000001,2,0.04
3,5.257499838000001,7.0099997840000015,12,0.24
3,7.0099997840000015,8.762499730000002,8,0.16
3,8.762499730000002,10.514999676000002,9,0.18
3,10.514999676000002,12.267499622000003,3,0.06
3,12.267499622000003,14.019999568000003,3,0.06
3,14.019999568000003,15.772499514000003,2,0.04
3,15.772499514000003,17.524999460000004,2,0.04
3,17.524999460000004,19.277499406000004,2,0.04
3,19.277499406000004,21.029999352000004,1,0.02
3,21.029999352000004,22.782499298000005,0,0.0
3,22.782499298000005,24.534999244000005,0,0.0
3,24.534999244000005,26.287499190000005,1,0.02
3,26.287499190000005,28.039999136000006,1,0.02
3,28.039999136000006,29.792499082000006,1,0.02
3,29.792499082000006,31.544999028000007,0,0.0
3,31.544999028000007,33.29749897400001,0,0.0
3,33.29749897400001,35.04999892000001,0,0.0
4,0.0,1.7524999460000004,0,0.0
4,1.7524999460000004,3.5049998920000007,5,0.09259259259259259
4,3.5049998920000007,5.257499838000001,2,0.037037037037037035
4,5.257499838000001,7.0099997840000015,7,0.12962962962962962
4,7.0099997840000015,8.762499730000002,11,0.2037037037037037
4,8.762499730000002,10.514999676000002,4,0.07407407407407407
4,10.514999676000002,12.267499622000003,7,0.12962962962962962
4,12.267499622000003,14.019999568000003,6,0.1111111111111111
4,14.019999568000003,15.772499514000003,3,0.05555555555555555
4,15.772499514000003,17.524999460000004,3,0.05555555555555555
4,17.524999460000004,19.277499406000004,4,0.07407407407407407
4,19.277499406000004,21.029999352000004,1,0.018518518518518517
4,21.029999352000004,22.782499298000005,0,0.0
4,22.782499298000005,24.534999244000005,0,0.0
4,24.534999244000005,26.287499190000005,0,0.0
4,26.287499190000005,28.039999136000006,1,0.018518518518518517
4,28.039999136000006,29.792499082000006,0,0.0
4,29.792499082000006,31.544999028000007,0,0.0
4,31.544999028000007,33.29749897400001,0,0.0
4,33.29749897400001,35.04999892000001,0,0.0
5,0.0,1.7524999460000004,0,0.0
5,1.7524999460000004,3.5049998920000007,0,0.0
5,3.5049998920000007,5.257499838000001,2,0.047619047619047616
5,5.257499838000001,7.0099997840000015,12,0.2857142857142857
5,7.0099997840000015,8.762499730000002,8,0.19047619047619047
5,8.762499730000002,10.514999676000002,6,0.14285714285714285
5,10.514999676000002,12.267499622000003,0,0.0
5,12.267499622000003,14.019999568000003,4,0.09523809523809523
5,14.019999568000003,15.772499514000003,2,0.047619047619047616
5,15.772499514000003,17.524999460000004,0,0.0
5,17.524999460000004,19.277499406000004,0,0.0
5,19.277499406000004,21.029999352000004,0,0.0
5,21.029999352000004,22.782499298000005,3,0.07142857142857142
5,22.782499298000005,24.534999244000005,1,0.023809523809523808
5,24.534999244000005,26.287499190000005,0,0.0
5,26.287499190000005,28.039999136000006,1,0.023809523809523808
5,28.039999136000006,29.792499082000006,2,0.047619047619047616
5,29.792499082000006,31.544999028000007,0,0.0
5,31.544999028000007,33.29749897400001,0,0.0
5,33.29749897400001,35.04999892000001,1,0.023809523809523808
6,0.0,1.7524999460000004,0,0.0
6,1.7524999460000004,3.5049998920000007,1,0.03225806451612903
6,3.5049998920000007,5.257499838000001,3,0.0967741935483871
6,5.257499838000001,7.0099997840000015,9,0.2903225806451613
6,7.0099997840000015,8.762499730000002,5,0.16129032258064516
6,8.762499730000002,10.514999676000002,8,0.25806451612903225
6,10.514999676000002,12.267499622000003,0,0.0
6,12.267499622000003,14.019999568000003,2,0.06451612903225806
6,14.019999568000003,15.772499514000003,0,0.0
6,15.772499514000003,17.524999460000004,0,0.0
6,17.524999460000004,19.277499406000004,0,0.0
6,19.277499406000004,21.029999352000004,0,0.0
6,21.029999352000004,22.782499298000005,0,0.0
6,22.782499298000005,24.534999244000005,0,0.0
6,24.534999244000005,26.287499190000005,1,0.03225806451612903
6,26.287499190000005,28.039999136000006,0,0.0
6,28.039999136000006,29.792499082000006,0,0.0
6,29.792499082000006,31.544999028000007,1,0.03225806451612903
6,31.544999028000007,33.29749897400001,1,0.03225806451612903
6,33.29749897400001,35.04999892000001,0,0.0
7,0.0,1.7524999460000004,0,0.0
7,1.7524999460000004,3.5049998920000007,1,0.027777777777777776
7,3.5049998920000007,5.257499838000001,1,0.027777777777777776
7,5.257499838000001,7.0099997840000015,5,0.1388888888888889
7,7.0099997840000015,8.762499730000002,4,0.1111111111111111
7,8.762499730000002,10.514999676000002,3,0.08333333333333333
7,10.514999676000002,12.267499622000003,7,0.19444444444444445
7,12.267499622000003,14.019999568000003,4,0.1111111111111111
7,14.019999568000003,15.772499514000003,2,0.05555555555555555
7,15.772499514000003,17.524999460000004,1,0.027777777777777776
7,17.524999460000004,19.277499406000004,4,0.1111111111111111
7,19.277499406000004,21.029999352000004,1,0.027777777777777776
7,21.029999352000004,22.782499298000005,1,0.027777777777777776
7,22.782499298000005,24.534999244000005,0,0.0
7,24.534999244000005,26.287499190000005,1,0.027777777777777776
7,26.287499190000005,28.039999136000006,1,0.027777777777777776
7,28.039999136000006,29.792499082000006,0,0.0
7,29.792499082000006,31.544999028000007,0,0.0
7,31.544999028000007,33.29749897400001,0,0.0
7,33.29749897400001,35.04999892000001,0,0.0
8,0.0,1.7524999460000004,0,0.0
8,1.7524999460000004,3.5049998920000007,2,0.0625
8,3.5049998920000007,5.257499838000001,4,0.125
8,5.257499838000001,7.0099997840000015,5,0.15625
8,7.0099997840000015,8.762499730000002,6,0.1875
8,8.762499730000002,10.514999676000002,1,0.03125
8,10.514999676000002,12.267499622000003,5,0.15625
8,12.267499622000003,14.019999568000003,4,0.125
8,14.019999568000003,15.772499514000003,1,0.03125
8,15.772499514000003,17.524999460000004,1,0.03125
8,17.524999460000004,19.277499406000004,0,0.0
8,19.277499406000004,21.029999352000004,2,0.0625
8,21.029999352000004,22.782499298000005,0,0.0
8,22.782499298000005,24.534999244000005,0,0.0
8,24.534999244000005,26.287499190000005,0,0.0
8,26.287499190000005,28.039999136000006,1,0.03125
8,28.039999136000006,29.792499082000006,0,0.0
8,29.792499082000006,31.544999028000007,0,0.0
8,31.544999028000007,33.29749897400001,0,0.0
8,33.29749897400001,35.04999892000001,0,0.0
9,0.0,1.7524999460000004,0,0.0
9,1.7524999460000004,3.5049998920000007,3,0.10344827586206896
9,3.5049998920000007,5.257499838000001,3,0.10344827586206896
9,5.257499838000001,7.0099997840000015,7,0.2413793103448276
9,7.0099997840000015,8.762499730000002,7,0.2413793103448276
9,8.762499730000002,10.514999676000002,0,0.0
9,10.514999676000002,12.267499622000003,1,0.034482758620689655
9,12.267499622000003,14.019999568000003,2,0.06896551724137931
9,14.019999568000003,15.772499514000003,2,0.06896551724137931
9,15.772499514000003,17.524999460000004,2,0.06896551724137931
9,17.524999460000004,19.277499406000004,1,0.034482758620689655
9,19.277499406000004,21.029999352000004,1,0.034482758620689655
9,21.029999352000004,22.782499298000005,0,0.0
9,22.782499298000005,24.534999244000005,0,0.0
9,24.534999244000005,26.287499190000005,0,0.0
9,26.287499190000005,28.039999136000006,0,0.0
9,28.039999136000006,29.792499082000006,0,0.0
9,29.792499082000006,31.544999028000007,0,0.0
9,31.544999028000007,33.29749897400001,0,0.0
9,33.29749897400001,35.04999892000001,0,0.0
10,0.0,1.7524999460000004,0,0.0
10,1.7524999460000004,3.5049998920000007,4,0.15384615384615385
10,3.5049998920000007,5.257499838000001,1,0.038461538461538464
10,5.257499838000001,7.0099997840000015,7,0.2692307692307692
10,7.0099997840000015,8.762499730000002,5,0.19230769230769232
10,8.762499730000002,10.514999676000002,6,0.23076923076923078
10,10.514999676000002,12.267499622000003,2,0.07692307692307693
10,12.267499622000003,14.019999568000003,1,0.038461538461538464
10,14.019999568000003,15.772499514000003,0,0.0
10,15.772499514000003,17.524999460000004,0,0.0
10,17.524999460000004,19.277499406000004,0,0.0
10,19.277499406000004,21.029999352000004,0,0.0
10,21.029999352000004,22.782499298000005,0,0.0
10,22.782499298000005,24.534999244000005,0,0.0
10,24.534999244000005,26.287499190000005,0,0.0
10,26.287499190000005,28.039999136000006,0,0.0
10,28.039999136000006,29.792499082000006,0,0.0
10,29.792499082000006,31.544999028000007,0,0.0
10,31.544999028000007,33.29749897400001,0,0.0
10,33.29749897400001,35.04999892000001,0,0.0
11,0.0,1.7524999460000004,0,0.0
11,1.7524999460000004,3.5049998920000007,1,0.125
11,3.5049998920000007,5.257499838000001,0,0.0
11,5.257499838000001,7.0099997840000015,3,0.375
11,7.0099997840000015,8.762499730000002,2,0.25
11,8.762499730000002,10.514999676000002,1,0.125
11,10.514999676000002,12.267499622000003,0,0.0
11,12.267499622000003,14.019999568000003,0,0.0
11,14.019999568000003,15.772499514000003,0,0.0
11,15.772499514000003,17.524999460000004,0,0.0
11,17.524999460000004,19.277499406000004,1,0.125
11,19.277499406000004,21.029999352000004,0,0.0
11,21.029999352000004,22.782499298000005,0,0.0
11,22.782499298000005,24.534999244000005,0,0.0
11,24.534999244000005,26.287499190000005,0,0.0
11,26.287499190000005,28.039999136000006,0,0.0
11,28.039999136000006,29.792499082000006,0,0.0
11,29.792499082000006,31.544999028000007,0,0.0
11,31.544999028000007,33.29749897400001,0,0.0
11,33.29749897400001,35.04999892000001,0,0.0
12,0.0,1.7524999460000004,0,0.0
12,1.7524999460000004,3.5049998920000007,1,0.08333333333333333
12,3.5049998920000007,5.257499838000001,1,0.08333333333333333
12,5.257499838000001,7.0099997840000015,5,0.4166666666666667
12,7.0099997840000015,8.762499730000002,2,0.16666666666666666
12,8.762499730000002,10.514999676000002,1,0.08333333333333333
12,10.514999676000002,12.267499622000003,0,0.0
12,12.267499622000003,14.019999568000003,1,0.08333333333333333
12,14.019999568000003,15.772499514000003,1,0.08333333333333333
12,15.772499514000003,17.524999460000004,0,0.0
12,17.524999460000004,19.277499406000004,0,0.0
12,19.277499406000004,21.029999352000004,0,0.0
12,21.029999352000004,22.782499298000005,0,0.0
12,22.782499298000005,24.534999244000005,0,0.0
12,24.534999244000005,26.287499190000005,0,0.0
12,26.287499190000005,28.039999136000006,0,0.0
12,28.039999136000006,29.792499082000006,0,0.0
12,29.792499082000006,31.544999028000007,0,0.0
12,31.544999028000007,33.29749897400001,0,0.0
12,33.29749897400001,35.04999892000001,0,0.0
