month,hour_of_day,n_events_observed,event_start_probability
1,0,0,0.0
1,1,1,0.016129032258064516
1,2,2,0.03225806451612903
1,3,2,0.03225806451612903
1,4,5,0.08064516129032258
1,5,5,0.08064516129032258
1,6,1,0.016129032258064516
1,7,1,0.016129032258064516
1,8,0,0.0
1,9,3,0.04838709677419355
1,10,8,0.12903225806451613
1,11,5,0.08064516129032258
1,12,5,0.08064516129032258
1,13,1,0.016129032258064516
1,14,4,0.06451612903225806
1,15,4,0.06451612903225806
1,16,3,0.04838709677419355
1,17,3,0.04838709677419355
1,18,5,0.08064516129032258
1,19,3,0.04838709677419355
1,20,2,0.03225806451612903
1,21,1,0.016129032258064516
1,22,2,0.03225806451612903
1,23,2,0.03225806451612903
2,0,3,0.05172413793103448
2,1,0,0.0
2,2,0,0.0
2,3,2,0.034482758620689655
2,4,1,0.017241379310344827
2,5,1,0.017241379310344827
2,6,0,0.0
2,7,2,0.034482758620689655
2,8,3,0.05172413793103448
2,9,2,0.034482758620689655
2,10,2,0.034482758620689655
2,11,0,0.0
2,12,2,0.034482758620689655
2,13,3,0.05172413793103448
2,14,2,0.034482758620689655
2,15,2,0.034482758620689655
2,16,1,0.017241379310344827
2,17,6,0.10344827586206896
2,18,2,0.034482758620689655
2,19,3,0.05172413793103448
2,20,2,0.034482758620689655
2,21,1,0.017241379310344827
2,22,0,0.0
2,23,1,0.017241379310344827
3,0,3,0.04838709677419355
3,1,1,0.016129032258064516
3,2,0,0.0
3,3,1,0.016129032258064516
3,4,0,0.0
3,5,2,0.03225806451612903
3,6,2,0.03225806451612903
3,7,1,0.016129032258064516
3,8,2,0.03225806451612903
3,9,1,0.016129032258064516
3,10,0,0.0
3,11,3,0.04838709677419355
3,12,1,0.016129032258064516
3,13,0,0.0
3,14,2,0.03225806451612903
3,15,6,0.0967741935483871
3,16,3,0.04838709677419355
3,17,5,0.08064516129032258
3,18,5,0.08064516129032258
3,19,5,0.08064516129032258
3,20,5,0.08064516129032258
3,21,2,0.03225806451612903
3,22,3,0.04838709677419355
3,23,0,0.0
4,0,0,0.0
4,1,1,0.016666666666666666
4,2,0,0.0
4,3,0,0.0
4,4,0,0.0
4,5,1,0.016666666666666666
4,6,1,0.016666666666666666
4,7,2,0.03333333333333333
4,8,3,0.05
4,9,2,0.03333333333333333
4,10,4,0.06666666666666667
4,11,2,0.03333333333333333
4,12,1,0.016666666666666666
4,13,1,0.016666666666666666
4,14,2,0.03333333333333333
4,15,5,0.08333333333333333
4,16,5,0.08333333333333333
4,17,2,0.03333333333333333
4,18,3,0.05
4,19,3,0.05
4,20,3,0.05
4,21,2,0.03333333333333333
4,22,2,0.03333333333333333
4,23,1,0.016666666666666666
5,0,0,0.0
5,1,1,0.016129032258064516
5,2,0,0.0
5,3,0,0.0
5,4,0,0.0
5,5,0,0.0
5,6,1,0.016129032258064516
5,7,1,0.016129032258064516
5,8,0,0.0
5,9,3,0.04838709677419355
5,10,1,0.016129032258064516
5,11,2,0.03225806451612903
5,12,0,0.0
5,13,1,0.016129032258064516
5,14,1,0.016129032258064516
5,15,3,0.04838709677419355
5,16,3,0.04838709677419355
5,17,0,0.0
5,18,2,0.03225806451612903
5,19,2,0.03225806451612903
5,20,1,0.016129032258064516
5,21,0,0.0
5,22,0,0.0
5,23,1,0.016129032258064516
6,0,0,0.0
6,1,0,0.0
6,2,0,0.0
6,3,1,0.016666666666666666
6,4,0,0.0
6,5,1,0.016666666666666666
6,6,1,0.016666666666666666
6,7,1,0.016666666666666666
6,8,2,0.03333333333333333
6,9,1,0.016666666666666666
6,10,0,0.0
6,11,2,0.03333333333333333
6,12,1,0.016666666666666666
6,13,1,0.016666666666666666
6,14,2,0.03333333333333333
6,15,3,0.05
6,16,0,0.0
6,17,5,0.08333333333333333
6,18,0,0.0
6,19,1,0.016666666666666666
6,20,2,0.03333333333333333
6,21,1,0.016666666666666666
6,22,0,0.0
6,23,0,0.0
7,0,0,0.0
7,1,0,0.0
7,2,0,0.0
7,3,2,0.03225806451612903
7,4,5,0.08064516129032258
7,5,1,0.016129032258064516
7,6,0,0.0
7,7,1,0.016129032258064516
7,8,1,0.016129032258064516
7,9,0,0.0
7,10,1,0.016129032258064516
7,11,2,0.03225806451612903
7,12,0,0.0
7,13,1,0.016129032258064516
7,14,1,0.016129032258064516
7,15,2,0.03225806451612903
7,16,2,0.03225806451612903
7,17,1,0.016129032258064516
7,18,0,0.0
7,19,0,0.0
7,20,0,0.0
7,21,0,0.0
7,22,1,0.016129032258064516
7,23,1,0.016129032258064516
8,0,1,0.016129032258064516
8,1,1,0.016129032258064516
8,2,1,0.016129032258064516
8,3,0,0.0
8,4,1,0.016129032258064516
8,5,0,0.0
8,6,1,0.016129032258064516
8,7,0,0.0
8,8,0,0.0
8,9,0,0.0
8,10,0,0.0
8,11,0,0.0
8,12,1,0.016129032258064516
8,13,1,0.016129032258064516
8,14,4,0.06451612903225806
8,15,1,0.016129032258064516
8,16,0,0.0
8,17,0,0.0
8,18,0,0.0
8,19,0,0.0
8,20,0,0.0
8,21,0,0.0
8,22,0,0.0
8,23,1,0.016129032258064516
9,0,0,0.0
9,1,1,0.016666666666666666
9,2,2,0.03333333333333333
9,3,4,0.06666666666666667
9,4,2,0.03333333333333333
9,5,0,0.0
9,6,0,0.0
9,7,2,0.03333333333333333
9,8,3,0.05
9,9,0,0.0
9,10,1,0.016666666666666666
9,11,3,0.05
9,12,5,0.08333333333333333
9,13,3,0.05
9,14,7,0.11666666666666667
9,15,4,0.06666666666666667
9,16,0,0.0
9,17,0,0.0
9,18,0,0.0
9,19,0,0.0
9,20,0,0.0
9,21,0,0.0
9,22,0,0.0
9,23,1,0.016666666666666666
10,0,2,0.03225806451612903
10,1,3,0.04838709677419355
10,2,2,0.03225806451612903
10,3,3,0.04838709677419355
10,4,7,0.11290322580645161
10,5,3,0.04838709677419355
10,6,2,0.03225806451612903
10,7,1,0.016129032258064516
10,8,1,0.016129032258064516
10,9,2,0.03225806451612903
10,10,4,0.06451612903225806
10,11,1,0.016129032258064516
10,12,8,0.12903225806451613
10,13,3,0.04838709677419355
10,14,5,0.08064516129032258
10,15,2,0.03225806451612903
10,16,5,0.08064516129032258
10,17,1,0.016129032258064516
10,18,0,0.0
10,19,0,0.0
10,20,0,0.0
10,21,1,0.016129032258064516
10,22,0,0.0
10,23,0,0.0
11,0,0,0.0
11,1,0,0.0
11,2,0,0.0
11,3,3,0.05
11,4,1,0.016666666666666666
11,5,1,0.016666666666666666
11,6,1,0.016666666666666666
11,7,2,0.03333333333333333
11,8,0,0.0
11,9,1,0.016666666666666666
11,10,2,0.03333333333333333
11,11,1,0.016666666666666666
11,12,3,0.05
11,13,2,0.03333333333333333
11,14,1,0.016666666666666666
11,15,1,0.016666666666666666
11,16,1,0.016666666666666666
11,17,0,0.0
11,18,0,0.0
11,19,0,0.0
11,20,0,0.0
11,21,0,0.0
11,22,0,0.0
11,23,0,0.0
12,0,0,0.0
12,1,2,0.03225806451612903
12,2,4,0.06451612903225806
12,3,4,0.06451612903225806
12,4,3,0.04838709677419355
12,5,5,0.08064516129032258
12,6,0,0.0
12,7,5,0.08064516129032258
12,8,4,0.06451612903225806
12,9,3,0.04838709677419355
12,10,13,0.20967741935483872
12,11,9,0.14516129032258066
12,12,7,0.11290322580645161
12,13,4,0.06451612903225806
12,14,11,0.1774193548387097
12,15,4,0.06451612903225806
12,16,6,0.0967741935483871
12,17,7,0.11290322580645161
12,18,4,0.06451612903225806
12,19,4,0.06451612903225806
12,20,3,0.04838709677419355
12,21,1,0.016129032258064516
12,22,2,0.03225806451612903
12,23,0,0.0
